Processor,Time,Bags
BELT 1,1:49:00 AM,0
BELT 2,1:49:00 AM,0
BELT 4,1:49:00 AM,0
BELT 3,1:49:00 AM,0
BELT 1,1:50:00 AM,0
BELT 2,1:50:00 AM,0
BELT 4,1:50:00 AM,0
BELT 3,1:50:00 AM,0
BELT 1,1:51:00 AM,0
BELT 2,1:51:00 AM,0
BELT 4,1:51:00 AM,0
BELT 3,1:51:00 AM,0
BELT 1,1:52:00 AM,0
BELT 2,1:52:00 AM,0
BELT 4,1:52:00 AM,0
BELT 3,1:52:00 AM,0
BELT 1,1:53:00 AM,0
BELT 2,1:53:00 AM,0
BELT 4,1:53:00 AM,0
BELT 3,1:53:00 AM,0
BELT 1,1:54:00 AM,0
BELT 2,1:54:00 AM,0
BELT 4,1:54:00 AM,0
BELT 3,1:54:00 AM,0
BELT 1,1:55:00 AM,0
BELT 2,1:55:00 AM,0
BELT 4,1:55:00 AM,0
BELT 3,1:55:00 AM,0
BELT 1,1:56:00 AM,0
BELT 2,1:56:00 AM,0
BELT 4,1:56:00 AM,0
BELT 3,1:56:00 AM,0
BELT 1,1:57:00 AM,0
BELT 2,1:57:00 AM,0
BELT 4,1:57:00 AM,0
BELT 3,1:57:00 AM,0
BELT 1,1:58:00 AM,0
BELT 2,1:58:00 AM,0
BELT 4,1:58:00 AM,0
BELT 3,1:58:00 AM,0
BELT 1,1:59:00 AM,0
BELT 2,1:59:00 AM,0
BELT 4,1:59:00 AM,0
BELT 3,1:59:00 AM,0
BELT 1,2:00:00 AM,0
BELT 2,2:00:00 AM,0
BELT 4,2:00:00 AM,0
BELT 3,2:00:00 AM,0
BELT 1,2:01:00 AM,0
BELT 2,2:01:00 AM,0
BELT 4,2:01:00 AM,0
BELT 3,2:01:00 AM,0
BELT 1,2:02:00 AM,0
BELT 2,2:02:00 AM,0
BELT 4,2:02:00 AM,0
BELT 3,2:02:00 AM,0
BELT 1,2:03:00 AM,0
BELT 2,2:03:00 AM,0
BELT 4,2:03:00 AM,0
BELT 3,2:03:00 AM,0
BELT 1,2:04:00 AM,0
BELT 2,2:04:00 AM,0
BELT 4,2:04:00 AM,0
BELT 3,2:04:00 AM,0
BELT 1,2:05:00 AM,0
BELT 2,2:05:00 AM,0
BELT 4,2:05:00 AM,0
BELT 3,2:05:00 AM,0
BELT 1,2:06:00 AM,0
BELT 2,2:06:00 AM,0
BELT 4,2:06:00 AM,0
BELT 3,2:06:00 AM,0
BELT 1,2:07:00 AM,0
BELT 2,2:07:00 AM,0
BELT 4,2:07:00 AM,0
BELT 3,2:07:00 AM,0
BELT 1,2:08:00 AM,0
BELT 2,2:08:00 AM,0
BELT 4,2:08:00 AM,0
BELT 3,2:08:00 AM,0
BELT 1,2:09:00 AM,0
BELT 2,2:09:00 AM,0
BELT 4,2:09:00 AM,0
BELT 3,2:09:00 AM,0
BELT 1,2:10:00 AM,0
BELT 2,2:10:00 AM,0
BELT 4,2:10:00 AM,0
BELT 3,2:10:00 AM,0
BELT 1,2:11:00 AM,0
BELT 2,2:11:00 AM,0
BELT 4,2:11:00 AM,0
BELT 3,2:11:00 AM,0
BELT 1,2:12:00 AM,0
BELT 2,2:12:00 AM,0
BELT 4,2:12:00 AM,0
BELT 3,2:12:00 AM,0
BELT 1,2:13:00 AM,0
